Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
6-Jun-14,Friday,1,Jun,2014,,"Free Ship No Min,Up To 20% Off",618,,,,,,
7-Jun-14,Saturday,1,Jun,2014,,"Free Ship No Min,Up To 20% Off",604,,,,,,
8-Jun-14,Sunday,2,Jun,2014,,"30% Off,FS on $75",336,,,,,,
9-Jun-14,Monday,2,Jun,2014,,"30% Off,FS on $75",446,,,,,,
10-Jun-14,Tuesday,2,Jun,2014,,"$10 Off,FS on $49",331,,,,,,
11-Jun-14,Wednesday,2,Jun,2014,,No Email Drop,296,,,,,,
12-Jun-14,Thursday,2,Jun,2014,,Treat Thursday,279,,,,,,
13-Jun-14,Friday,2,Jun,2014,,"$13 Off,FS on $49",619,,,,,,
14-Jun-14,Saturday,2,Jun,2014,,No Email Drop,160,,,,,,
15-Jun-14,Sunday,3,Jun,2014,,"25% Off,FS on $49",308,,,,,,
16-Jun-14,Monday,3,Jun,2014,,"25% Off,FS on $49",598,,,,,,
17-Jun-14,Tuesday,3,Jun,2014,,No Email Drop,340,,,,,,
18-Jun-14,Wednesday,3,Jun,2014,,"25% Off,FS on $49",496,,,,,,
19-Jun-14,Thursday,3,Jun,2014,,Treat Thursday,254,,,,,,
20-Jun-14,Friday,3,Jun,2014,,"$10 Off,FS on $49",343,,,,,,
21-Jun-14,Saturday,3,Jun,2014,,"$10 Off,FS on $49",198,,,,,,
22-Jun-14,Sunday,4,Jun,2014,,"$5 Off,FS on $25",237,,,,,,
23-Jun-14,Monday,4,Jun,2014,,"Flash Sale,30% Off,FS on $49",554,,,,,,
24-Jun-14,Tuesday,4,Jun,2014,,No Email Drop,254,,,,,,
25-Jun-14,Wednesday,4,Jun,2014,,RD Event,273,,,,,,
26-Jun-14,Thursday,4,Jun,2014,,Treat Thursday,247,,,,,,
27-Jun-14,Friday,4,Jun,2014,,"20% Off,FS on $49",257,,,,,,
28-Jun-14,Saturday,4,Jun,2014,,"20% Off,FS on $49",278,,,,,,
29-Jun-14,Sunday,5,Jun,2014,,"Reveal Your Deal Promo,15, 20, 30% Off,",167,,,,,,
30-Jun-14,Monday,5,Jun,2014,,"Reveal Your Deal Promo,15, 20, 30% Off,",334,,,,,,
1-Jul-14,Tuesday,1,Jul,2014,,"$10 Off,FS on $49",314,,,,,,
2-Jul-14,Wednesday,1,Jul,2014,,No Email Drop,235,,,,,,
3-Jul-14,Thursday,1,Jul,2014,Previous Day of the-Independence Day,"$15 eGC,Up To 40% Off,FS on $49",432,,,,,,
4-Jul-14,Friday,1,Jul,2014,Independence Day,"Up To 40% Off,FS on $49",231,,,,,,
5-Jul-14,Saturday,1,Jul,2014,Next Day of the-Independence Day,RD Event,193,,,,,,
6-Jul-14,Sunday,1,Jul,2014,,"Free Ship Flash Sale,Up To 40% Off,FS on $49",277,,,,,,
7-Jul-14,Monday,1,Jul,2014,,"$30 Off,FS on $100",380,,,,,,
8-Jul-14,Tuesday,2,Jul,2014,,No Email Drop,298,,,,,,
9-Jul-14,Wednesday,2,Jul,2014,,"$30 Off,FS on $100",347,,,,,,
10-Jul-14,Thursday,2,Jul,2014,,Treat Thursday,250,,,,,,
11-Jul-14,Friday,2,Jul,2014,,Free Ship No Min,340,,,,,,
12-Jul-14,Saturday,2,Jul,2014,,Free Ship No Min,303,,,,,,
13-Jul-14,Sunday,2,Jul,2014,,FS on $49,190,,,,,,
14-Jul-14,Monday,2,Jul,2014,,"Flash Sale,30% Off,FS on $49",694,,,,,,
15-Jul-14,Tuesday,3,Jul,2014,,"30% Off,FS on $49",571,,,,,,
16-Jul-14,Wednesday,3,Jul,2014,,No Email Drop,299,,,,,,
17-Jul-14,Thursday,3,Jul,2014,,"Treat Thursday,$5 Off,FS on $35",343,,,,,,
18-Jul-14,Friday,3,Jul,2014,,"30% Off,FS on $75",423,,,,,,
19-Jul-14,Saturday,3,Jul,2014,,No Email Drop,180,,,,,,
20-Jul-14,Sunday,3,Jul,2014,,No Email Drop,151,,,,,,
21-Jul-14,Monday,3,Jul,2014,,No Email Drop,230,,,,,,
22-Jul-14,Tuesday,4,Jul,2014,,"$10 Off,FS on $49",609,,,,,,
23-Jul-14,Wednesday,4,Jul,2014,,"20-40% Off,FS on $49",295,,,,,,
24-Jul-14,Thursday,4,Jul,2014,,"20-40% Off,FS on $49",279,,,,,,
25-Jul-14,Friday,4,Jul,2014,,Free Ship No Min,420,,,,,,
26-Jul-14,Saturday,4,Jul,2014,,Free Ship No Min,329,,,,,,
27-Jul-14,Sunday,4,Jul,2014,,"20-40% Off,FS on $49",223,,,,,,
28-Jul-14,Monday,4,Jul,2014,,"$10 Off,FS on $49",468,,,,,,
29-Jul-14,Tuesday,5,Jul,2014,,"RD Event,Double Points",398,,,,,,
30-Jul-14,Wednesday,5,Jul,2014,,"$5 Off,FS on $35",479,,,,,,
31-Jul-14,Thursday,5,Jul,2014,,Treat Thursday,289,,,,,,
1-Aug-14,Friday,1,Aug,2014,,"20-40% Off,FS on $49",416,,,,,,
2-Aug-14,Saturday,1,Aug,2014,,"20-40% Off,FS on $49",255,,,,,,
3-Aug-14,Sunday,1,Aug,2014,,RD Event,208,,,,,,
4-Aug-14,Monday,1,Aug,2014,,No Email Drop,286,,,,,,
5-Aug-14,Tuesday,1,Aug,2014,,"Flash Sale,25% Off,FS on $49",664,,,,,,
6-Aug-14,Wednesday,1,Aug,2014,,"Flash Sale,25% Off,FS on $49",488,,,,,,
7-Aug-14,Thursday,1,Aug,2014,,"Up To 40% Off,FS on $49",287,,,,,,
8-Aug-14,Friday,2,Aug,2014,,RD Event,330,,,,,,
9-Aug-14,Saturday,2,Aug,2014,,"Up To 40% Off,FS on $49",283,,,,,,
10-Aug-14,Sunday,2,Aug,2014,,"7 DOD, 50% Dog",328,,,,,,
11-Aug-14,Monday,2,Aug,2014,,"7 DOD, 40% Cat, $100 up",349,,,,,,
