Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
16-Sep-15,Wednesday,3,Sep,2015,,"25% Off,FS on $49",440,445,,,,,
17-Sep-15,Thursday,3,Sep,2015,,RD Event,347,253,,,,,
18-Sep-15,Friday,3,Sep,2015,,Free Ship No Min,383,448,,,,,
19-Sep-15,Saturday,3,Sep,2015,,Free Ship No Min,297,209,,,,,
20-Sep-15,Sunday,3,Sep,2015,,"Up To 40% Off,FS on $49",254,254,,,,,
21-Sep-15,Monday,3,Sep,2015,,"Reveal Your Deal Promo,15, 20% Off",384,325,,,,,
22-Sep-15,Tuesday,4,Sep,2015,,"20% Off, FS on $49",310,267,,,,,
23-Sep-15,Wednesday,4,Sep,2015,,"20% Off, FS on $49",327,440,,,,,
24-Sep-15,Thursday,4,Sep,2015,,"20% Off, FS on $49",331,440,,,,,
25-Sep-15,Friday,4,Sep,2015,,"20% Off, FS on $49",330,263,,,,,
26-Sep-15,Saturday,4,Sep,2015,,"20% Off, FS on $49",271,250,,,,,
27-Sep-15,Sunday,4,Sep,2015,,"$10 Off,FS on $60",217,230,,,,,
28-Sep-15,Monday,4,Sep,2015,,No Email Drop,311,275,,,,,
29-Sep-15,Tuesday,5,Sep,2015,,No Email Drop,293,302,,,,,
30-Sep-15,Wednesday,5,Sep,2015,,"$10 Off,FS on $60",272,308,,,,,
1-Oct-15,Thursday,1,Oct,2015,,"$10 Off,FS on $60",378,285,,,,,
2-Oct-15,Friday,1,Oct,2015,,"$10 Off,FS on $60",315,300,,,,,
3-Oct-15,Saturday,1,Oct,2015,,"$10 Off,FS on $60",281,242,,,,,
4-Oct-15,Sunday,1,Oct,2015,,"$10 Off,FS on $60",240,307,,,,,
5-Oct-15,Monday,1,Oct,2015,,No Email Drop,357,299,,,,,
6-Oct-15,Tuesday,1,Oct,2015,,"$10 Off,FS on $60",324,291,,,,,
7-Oct-15,Wednesday,1,Oct,2015,,"$10 Off,FS on $60",356,275,,,,,
8-Oct-15,Thursday,2,Oct,2015,,"$10 Off,FS on $60",339,277,,,,,
9-Oct-15,Friday,2,Oct,2015,,"$10 Off,FS on $60",318,570,,,,,
10-Oct-15,Saturday,2,Oct,2015,,"$10 Off,FS on $60",333,298,,,,,
11-Oct-15,Sunday,2,Oct,2015,Previous Day of the-Columbus Day,"25% Off,FS on $49",258,325,,,,,
12-Oct-15,Monday,2,Oct,2015,Columbus Day,"25% Off,FS on $49",356,367,,,,,
13-Oct-15,Tuesday,2,Oct,2015,Next Day of the-Columbus Day,"25% Off,FS on $49",312,349,,,,,
14-Oct-15,Wednesday,2,Oct,2015,,"Flash Sale,25% Off,FS on $49",450,309,,,,,
15-Oct-15,Thursday,3,Oct,2015,,"30-50% Off,FS on $49",346,329,,,,,
16-Oct-15,Friday,3,Oct,2015,,"30-50% Off,FS on $49",369,367,,,,,
17-Oct-15,Saturday,3,Oct,2015,,No Email Drop,256,242,,,,,
18-Oct-15,Sunday,3,Oct,2015,,"$15 Off,FS on $49",315,250,,,,,
19-Oct-15,Monday,3,Oct,2015,,"$15 Off,FS on $49",409,436,,,,,
20-Oct-15,Tuesday,3,Oct,2015,,"$15 Off,FS on $49",434,417,,,,,
21-Oct-15,Wednesday,3,Oct,2015,,"$15 Off,FS on $49",383,405,,,,,
22-Oct-15,Thursday,4,Oct,2015,,No Email Drop,362,289,,,,,
23-Oct-15,Friday,4,Oct,2015,,No Email Drop,377,373,,,,,
24-Oct-15,Saturday,4,Oct,2015,,"$15 Off,FS on $49",337,254,,,,,
25-Oct-15,Sunday,4,Oct,2015,,"30% Off,FS on $75",300,286,,,,,
26-Oct-15,Monday,4,Oct,2015,,"30% Off,FS on $75",523,375,,,,,
27-Oct-15,Tuesday,4,Oct,2015,,"Up To 40% Off,FS on $49",416,350,,,,,
28-Oct-15,Wednesday,4,Oct,2015,,Free Ship No Min,420,320,,,,,
29-Oct-15,Thursday,5,Oct,2015,,"10% Off, FS on $49",325,371,,,,,
30-Oct-15,Friday,5,Oct,2015,,"30% Off,FS on $75",400,324,,,,,
31-Oct-15,Saturday,5,Oct,2015,,"30% Off,FS on $75",370,440,,,,,
1-Nov-15,Sunday,1,Nov,2015,,"30% Off,FS on $75",353,302,,,,,
2-Nov-15,Monday,1,Nov,2015,,"$15 Off,FS on $75",357,379,,,,,
3-Nov-15,Tuesday,1,Nov,2015,,"Up To 40% Off,FS on $49",386,398,,,,,
4-Nov-15,Wednesday,1,Nov,2015,,"$15 Off,FS on $75",326,298,,,,,
5-Nov-15,Thursday,1,Nov,2015,,No Email Drop,324,281,,,,,
6-Nov-15,Friday,1,Nov,2015,,$10 Off Promo,400,370,,,,,
7-Nov-15,Saturday,1,Nov,2015,,"20% Off,FS on $49",275,259,,,,,
8-Nov-15,Sunday,2,Nov,2015,,"20% Off,FS on $49",340,288,,,,,
9-Nov-15,Monday,2,Nov,2015,,"25% Off,FS on $49",367,350,,,,,
10-Nov-15,Tuesday,2,Nov,2015,Previous Day of the-Veteran's Day,"25% Off,FS on $49",453,301,,,,,
11-Nov-15,Wednesday,2,Nov,2015,Veteran's Day,Free Ship No Min,628,468,,,,,
12-Nov-15,Thursday,2,Nov,2015,Next Day of the-Veteran's Day,Free Ship No Min,439,426,,,,,
13-Nov-15,Friday,2,Nov,2015,,"$13 Off,FS on $49",368,392,,,,,
14-Nov-15,Saturday,2,Nov,2015,,"Up To 40% Off,FS on $49",230,250,,,,,
15-Nov-15,Sunday,3,Nov,2015,,"30-50% Off,FS on $49",222,317,,,,,
16-Nov-15,Monday,3,Nov,2015,,"30-50% Off,FS on $49",432,418,,,,,
17-Nov-15,Tuesday,3,Nov,2015,,"30-50% Off,FS on $49",368,406,,,,,
18-Nov-15,Wednesday,3,Nov,2015,,"30-50% Off,FS on $49",340,377,,,,,
19-Nov-15,Thursday,3,Nov,2015,,"30-50% Off,FS on $49",391,409,,,,,
20-Nov-15,Friday,3,Nov,2015,,"Up To 40% Off,FS on $49",326,342,,,,,
21-Nov-15,Saturday,3,Nov,2015,,Friends & Family Event- 20% Off,312,259,,,,,
22-Nov-15,Sunday,4,Nov,2015,,Friends & Family Event- 20% Off,258,240,,,,,
23-Nov-15,Monday,4,Nov,2015,,Friends & Family Event- 20% Off,296,374,,,,,
24-Nov-15,Tuesday,4,Nov,2015,,Friends & Family Event- 20% Off,324,347,,,,,
25-Nov-15,Wednesday,4,Nov,2015,Previous Day of the-Thanksgiving Day,Friends & Family Event- 20% Off,314,294,,,,,
26-Nov-15,Thursday,4,Nov,2015,Thanksgiving Day,Thanks Giving,284,320,,,,,
27-Nov-15,Friday,4,Nov,2015,Next Day of the-Thanksgiving Day,Black Friday,711,640,,,,,
28-Nov-15,Saturday,4,Nov,2015,,Black Friday,568,454,,,,,
29-Nov-15,Sunday,5,Nov,2015,,Black Friday,428,484,,,,,
30-Nov-15,Monday,5,Nov,2015,,Cyber Savings,1064,1324,,,,,
1-Dec-15,Tuesday,1,Dec,2015,,Cyber Savings,748,564,,,,,
2-Dec-15,Wednesday,1,Dec,2015,,Cyber Savings,511,535,,,,,
3-Dec-15,Thursday,1,Dec,2015,,Cyber Savings,505,443,,,,,
4-Dec-15,Friday,1,Dec,2015,,Cyber Savings,536,441,,,,,
5-Dec-15,Saturday,1,Dec,2015,,Cyber Savings,521,423,,,,,
6-Dec-15,Sunday,1,Dec,2015,,"Up To 40% Off,FS on $49",322,246,,,,,
7-Dec-15,Monday,1,Dec,2015,,"30% Off,FS on $75",504,491,,,,,
8-Dec-15,Tuesday,2,Dec,2015,,"30% Off,FS on $75",439,435,,,,,
9-Dec-15,Wednesday,2,Dec,2015,,"Up To 40% Off,FS on $49",430,366,,,,,
10-Dec-15,Thursday,2,Dec,2015,,Free Ship No Min,419,450,,,,,
11-Dec-15,Friday,2,Dec,2015,,Free Ship No Min,428,517,,,,,
12-Dec-15,Saturday,2,Dec,2015,,"Up To 40% Off,FS on $49",438,330,,,,,
